req_text_1,req_text_2,consistency_label,nfr_category
provide option user adjust text size color readability,not provide option user adjust text size color readability,0,Look and Feel
design interactive element provide immediate feedback user action,design interactive element not provide immediate feedback user action,0,Look and Feel
campus map cover central train station eindhoven,campus map not cover central train station eindhoven,0,Usability
system shall offer context sensitive help major step user workflow,case user mark item favorite notified change made item,1,Usability
accuracy generic question constructionã â â ¹ part close 80%,product shall comply city chicago application development guide framework application development framework provide structured graphical user interface,1,Portability
system shall perform regular testing failover recovery process ensure effectiveness,ensure medium element video audio accessible control,1,Fault Tolerance
set automatic reboots critical service recover unexpected failure,set automatic reboots critical service recover not unexpected failure,0,Fault Tolerance
system shall intuitive program administrator nursing staff member,system shall not intuitive program administrator nursing staff member,0,Look and Feel
system shall built secure possible malicious interference,system shall not built secure possible malicious interference,0,Look and Feel
decouple service prevent cascading failure,icon according android icon guideline,1,Fault Tolerance
version control maintain version control quickly rollback case failure,third party library keep third party library date,1,Fault Tolerance
full news report shown choosing corresponding news title,system shall include self healing mechanism automatically address correct fault,1,Portability
system must collect report security metric measure improve security posture,system must not collect report security metric measure improve security posture,0,Portability
system shall offer quick access menu commonly used function,use decentralized data storage solution,1,Look and Feel
implement configurable build process streamline automate software build,implement configurable build process streamline not automate software build,0,Look and Feel
perform scaling operation background avoid affecting user interaction application performance,perform scaling operation background avoid affecting not user interaction application performance,0,Operability
sensitive data must encrypted transit rest using industry standard encryption algorithm,sensitive data must not encrypted transit rest using industry standard encryption algorithm,0,Security
system must provide comprehensive logging operational activity,implement distributed logging better analysis,1,Operability
implement service discovery mechanism manage service instance,administrator remove vertex path used route planner,1,Usability
continuously monitor system performance,provide dark mode option,1,Operability
manage legacy code clear documentation,ensure help documentation context sensitive relevant,1,Usability
maximum wait time user navigating one screen another within dispute application shall no 5 second,maximum wait time user navigating one screen another within dispute application shall not no 5 second,0,Performance
product shall support drag drop functionality file management,system shall support 600 concurrent chat session,1,Usability
navigation ensure intuitive easy use navigation,navigation ensure intuitive not easy use navigation,0,Look and Feel
implement snapshot based recovery mechanism fast data restoration,system shall offer tool administrator simulate fault test recovery procedure,1,Fault Tolerance
system shall offer tool administrator simulate fault test recovery procedure,system shall not offer tool administrator simulate fault test recovery procedure,0,Fault Tolerance
system shall not require additional third party license resulting royalty fee,user registration mobile application desc given user downloaded mobile application user able register mobile application user must provide user name password e mail address user choose provide regularly used phone number,1,Look and Feel
integrate learning module directly app,integrate learning not module directly app,0,Usability
product shall include built tool diagnostic troubleshooting,product shall not include built tool diagnostic troubleshooting,0,Look and Feel
use automated configuration management maintain consistency reduce manual error,continuously monitor system latency identify resolve potential performance issue,1,Fault Tolerance
response time generating report shall within 8 second 150 000 record,response time generating report shall not within 8 second 150 000 record,0,Performance
system able display no result found case no search result found,system able display no not result found case no search result found,0,Usability
product must support internet explorer 5 5,product shall compliant accessibility standard wcag 2 1,1,Usability
system shall support recovery data different type failure including hardware software network failure,product shall provide comprehensive api documentation developer,1,Fault Tolerance
include tooltips additional information complex feature,implement strict access control maintenance activity,1,Usability
design constraint use ã â å waterfall methodã â â object ã â â œ oriented programming paradigm use java programming language android version device 2 3 higher system requires internet connection time,design constraint use ã â å not waterfall methodã â â object ã â â œ oriented programming paradigm use java programming language android version device 2 3 higher system requires internet connection time,0,Look and Feel
historical site marker site placed map include name shorten description link site page,historical site not marker site placed map exclude name shorten description link site page,0,Usability
database populated information extraction unit rest system available information readilyaccessible,database populated information extraction unit rest system unavailable information readilyaccessible,0,Availability
system shall provide clear consistent iconography throughout interface,system shall not provide clear consistent iconography throughout interface,0,Look and Feel
case user touch log button log system user not use system log,case user touch log button log system user not use not system log,0,Operability
search result shall returned no later 30 second user entered search criterion,search result shall not returned no later 30 second user entered search criterion,0,Usability
ensure system component documented comprehensively updated regularly,ensure system component not documented comprehensively updated regularly,0,Maintainability
provide clear consistent color scheme easy eye,not provide clear consistent color scheme easy eye,0,Look and Feel
interface shall appealing caller supervisor interface usability survey 80% beta tester must report interface appealing,interface shall not appealing caller supervisor interface usability survey 80% beta tester must report interface appealing,0,Look and Feel
user able access streaming movie 2 click logging website,system shall built feature automatically verify successful recovery fault,1,Operability
possible search certain building campus tu e address,56k connection system response time operation must no 6 second 90% time,1,Look and Feel
product shall installed untrained realtor without recourse separately printed instruction,product shall not installed untrained realtor without recourse separately printed instruction,0,Usability
application distance calculation geolocation information user site nearby site,application not distance calculation geolocation information user site nearby site,0,Usability
modularity system designed way algorithm four main unit able easily swapped,modularity not system designed way algorithm four main unit able easily swapped,0,Look and Feel
mobile application free text search desc user able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu free text search field result displayed map view default,mobile application free text search desc user not able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu free text search field result displayed map view default,0,Fault Tolerance
administrator remove building,administrator not remove building,0,Look and Feel
create dashboard visualize status system component service,aspect website shall accessed web browser internet,1,Usability
possible ã â å tweetã â â certain news item,backup restore regularly backup data ensure quick restoration,1,Portability
configuration management configuration externalized versioned,search described requirement ucar702 result displayed set topic,1,Usability
system shall easy use program administrator nursing staff member,system shall not easy use program administrator nursing staff member,0,Operability
system must ensure proper data sanitization procedure followed remove sensitive information disposal reuse,system must not ensure proper data sanitization procedure followed remove sensitive information disposal reuse,0,Portability
user able navigate using sub navigation icon access catalogue pdf 360 video contact rep representative,user not able navigate using sub navigation icon access catalogue pdf 360 video contact rep representative,0,Operability
product shall include interface managing system license entitlement,product shall not include interface managing system license entitlement,0,Look and Feel
use continuous integration streamline code update,use continuous integration not streamline code update,0,Maintainability
include feature user provide feedback easily,exclude feature user not provide feedback easily,0,Usability
use automated configuration management maintain consistency reduce manual error,user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,1,Fault Tolerance
system must use point click interface 100% selection navigation functionality must able activated selected either mouse keyboard,setting menu twitter user save username combination password regarding twitter,1,Look and Feel
product shall provide detailed system diagnostics reporting tool,product shall not provide detailed system diagnostics reporting tool,0,Portability
purchasing streaming movie pre paid card via credit card processing time maximum response time 15 second,poiã â â building indicated,1,Performance
system must include regular security testing part development lifecycle,system must not exclude regular security testing part development lifecycle,0,Security
mobile application free text search desc user able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu free text search field result displayed map view default,mobile application free text search desc user able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu not free text search field result displayed map view default,0,Fault Tolerance
cma report shall returned no later 60 second user entered cma report criterion,cma report shall not returned no later 60 second user entered cma report criterion,0,Usability
application extendable mean skilled java android programmer able easily add new sub application insapption add launcher main application,application extendable mean skilled java android programmer not able easily add new sub application insapption add launcher main application,0,Maintainability
system shall ensure user session preserved failovers,system shall designed handle simultaneous failure 20% component without service interruption,1,Fault Tolerance
implement incident management process handle maintenance issue effectively,main menu contains launcher student handbook app dutch language selected 3 1 8,1,Maintainability
anonimization aggregation route information may shared safely without disclosing personal information,provide marketplace user created theme,1,Portability
product shall available player understand english spanish french product shall allow user select language upon accessing product,product shall not available player understand english spanish french product shall not allow user select language upon accessing product,0,Availability
product shall offer web based interface remote system management,location searched address building,1,Look and Feel
system shall support version control configuration change,system shall not support version control configuration change,0,Usability
follow industry standard high availability ensure best practice,regularly benchmark system industry standard,1,Usability
use interactive chart data visualization,interface shall easy use 90% user able successfully use system generate report first use interface adhere ibm usability standard,1,Usability
system shall operate within window xp professional operating system,system shall not operate within window xp professional operating system,0,Operability
product shall mechanism place periodic security assessment,interface user automated system shall maximum response time 5 second unless noted exception,1,Security
response time system 2 second,response time system not 2 second,0,Performance
use cluster management tool better resource utilization,use cluster management not tool better resource utilization,0,Usability
product shall include interface managing system license entitlement,provide option user adjust text size color readability,1,Look and Feel
use interactive infographics data representation,location selected search result described ucar211 ucar212,1,Usability
full information registration given restaurant owner want create account restaurant owner not account restaurant owner register web portal providing user name password address e mail address phone number mobile number restaurant owner able apply verification,product shall include comprehensive quality assurance testing strategy,1,Usability
ensure network infrastructure handle increased load,ensure network not infrastructure handle increased load,0,Scalability
product shall include feature automated system update patch management,allow user easily navigate back previous screen action,1,Maintainability
system must monitor record user activity detect respond potential security incident,system must not monitor record user activity detect respond potential security incident,0,Operability
product shall support integration industry standard tool system,ensure system handle partial failure without impacting overall availability,1,Usability
successful log given administrator want log administrator log administrator account administrator logged administrator,successful log given administrator not want log administrator log administrator account administrator logged administrator,0,Operability
provide user clear path troubleshooting issue,include option switch light dark mode,1,Usability
product must able interface various email server product shall able send email,product must able interface various email server product shall not able send email,0,Look and Feel
website design modern clean concise,system shall capable processing 60 000 transaction per day,1,Look and Feel
case user change username email address profile picture password user change username password notification mail sent userã â â email address change apply user click link email,case user change username email address profile picture password user change username password notification mail sent userã not â â email address change apply user click link email,0,Usability
user click link browse site home page system respond list link site z sorted site name,user click link browse site home page system not respond list link site z sorted site name,0,Usability
ensure application compatible popular assistive technology,ensure application compatible not popular assistive technology,0,Operability
website shall protect intentional abuse notify administrator occurrence,product shall support automated testing coverage rate least 85%,1,Operability
application map view satellite style,application map view not satellite style,0,Usability
implement monitoring resource utilization identify address potential issue proactively,implement monitoring resource utilization not identify address potential issue proactively,0,Operability
design system high availability minimal downtime,design system high not availability minimal downtime,0,Availability
product shall include help button accessible every screen,product shall not include help button accessible every screen,0,Usability
system shall let administrator de activate customer account 1 minute customer no longer able access website,system shall not let administrator de activate customer account 1 minute customer no longer able access website,0,Operability
use scalable identity management solution,use scalable not identity management solution,0,Usability
use cloud provider offer high availability auto scaling feature,use cloud provider not offer high availability auto scaling feature,0,Usability
communication security gist security communication system server scale message encrypted log communication others cannot get user name password message meter attempt get user name password obtained message 1000 log session testing must 100% communication message communication log session encrypted communication message defined every exchanged information client server,location searched name poi,1,Operability
system shall allow manual intervention override automated recovery procedure necessary,system shall not allow manual intervention override automated recovery procedure necessary,0,Fault Tolerance
every registered user access product support site via internet 70% registered user shall find solution problem within 5 minute using support site,every registered user access product support site via internet 70% registered user shall not find solution problem within 5 minute using support site,0,Usability
product shall include feature user report usability issue directly within application,product shall not include feature user report usability issue directly within application,0,Usability
implement network redundancy prevent single point failure network connectivity,implement network redundancy prevent not single point failure network connectivity,0,Fault Tolerance
system shall easy learn caller supervisor caller supervisor shall learn use system within 10 minute,user select topic search result list,1,Usability
interface shall designed minimize number click needed complete common task,interface shall not designed minimize number click needed complete common task,0,Look and Feel
onboarding provide visually appealing onboarding experience,onboarding not provide visually appealing onboarding experience,0,Usability
system shall support internationalization localization,implement auto restart critical service,1,Usability
efficiently manage resource avoid bottleneck,system shall provide alert notification fault occurrence recovery status,1,Usability
system shall use symbol word naturally understandable user community,application shall process 600 000 record batch processing job,1,Usability
system must undergo regular vulnerability assessment penetration testing,system must not undergo regular vulnerability assessment penetration testing,0,Usability
product shall mechanism place periodic security assessment,use 3d element enhance visual appeal,1,Security
twitter ã â â tweetã â â interface according twitter guideline,twitter ã â â tweetã â â not interface according twitter guideline,0,Look and Feel
system shall include built user guide easily searchable,product shall adhere corporate architecture guideline,1,Look and Feel
database updated periodically api unavailable update,database updated not periodically api unavailable update,0,Availability
facebook ã â â likeã â â interface according facebook guideline,facebook ã â â likeã â â interface not according facebook guideline,0,Look and Feel
implement feedback system learn user experience,team owner need use username password order authenticated reach team owner page,1,Usability
zero downtime deployment aim zero downtime deployment,select swedish preferred language given restaurant owner want select preferred language restaurant owner selects swedish new language web portal show text swedish,1,Availability
dependency management dependency explicitly declared managed,dependency management dependency not explicitly declared managed,0,Usability
