req_text_1,req_text_2,consistency_label,nfr_category
provide option user adjust text size color readability,not provide option user adjust text size color readability,0,Compatibility
design interactive element provide immediate feedback user action,design interactive element not provide immediate feedback user action,0,Maintainability
system shall offer context sensitive help major step user workflow,case user mark item favorite notified change made item,1,Availability
accuracy generic question constructionã â â ¹ part close 80%,product shall comply city chicago application development guide framework application development framework provide structured graphical user interface,1,Accuracy
system shall perform regular testing failover recovery process ensure effectiveness,ensure medium element video audio accessible control,1,Availability
set automatic reboots critical service recover unexpected failure,set automatic reboots critical service recover not unexpected failure,0,Interoperability
system shall built secure possible malicious interference,system shall not built secure possible malicious interference,0,Flexibility
decouple service prevent cascading failure,icon according android icon guideline,1,Portability
version control maintain version control quickly rollback case failure,third party library keep third party library date,1,Performance
perform scaling operation background avoid affecting user interaction application performance,perform scaling operation background avoid affecting not user interaction application performance,0,Scalability
sensitive data must encrypted transit rest using industry standard encryption algorithm,sensitive data must not encrypted transit rest using industry standard encryption algorithm,0,Flexibility
maximum wait time user navigating one screen another within dispute application shall no 5 second,maximum wait time user navigating one screen another within dispute application shall not no 5 second,0,Portability
navigation ensure intuitive easy use navigation,navigation ensure intuitive not easy use navigation,0,Portability
implement snapshot based recovery mechanism fast data restoration,system shall offer tool administrator simulate fault test recovery procedure,1,Availability
system shall offer tool administrator simulate fault test recovery procedure,system shall not offer tool administrator simulate fault test recovery procedure,0,Interoperability
use automated configuration management maintain consistency reduce manual error,continuously monitor system latency identify resolve potential performance issue,1,Reliability
response time generating report shall within 8 second 150 000 record,response time generating report shall not within 8 second 150 000 record,0,Performance
system shall support recovery data different type failure including hardware software network failure,product shall provide comprehensive api documentation developer,1,Performance
design constraint use ã â å waterfall methodã â â object ã â â œ oriented programming paradigm use java programming language android version device 2 3 higher system requires internet connection time,design constraint use ã â å not waterfall methodã â â object ã â â œ oriented programming paradigm use java programming language android version device 2 3 higher system requires internet connection time,0,Scalability
system shall provide clear consistent iconography throughout interface,system shall not provide clear consistent iconography throughout interface,0,Compatibility
case user touch log button log system user not use system log,case user touch log button log system user not use not system log,0,Scalability
search result shall returned no later 30 second user entered search criterion,search result shall not returned no later 30 second user entered search criterion,0,Accuracy
ensure system component documented comprehensively updated regularly,ensure system component not documented comprehensively updated regularly,0,Usability
provide clear consistent color scheme easy eye,not provide clear consistent color scheme easy eye,0,Availability
interface shall appealing caller supervisor interface usability survey 80% beta tester must report interface appealing,interface shall not appealing caller supervisor interface usability survey 80% beta tester must report interface appealing,0,Security
user able access streaming movie 2 click logging website,system shall built feature automatically verify successful recovery fault,1,Interoperability
application distance calculation geolocation information user site nearby site,application not distance calculation geolocation information user site nearby site,0,Availability
mobile application free text search desc user able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu free text search field result displayed map view default,mobile application free text search desc user not able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu free text search field result displayed map view default,0,Scalability
system shall easy use program administrator nursing staff member,system shall not easy use program administrator nursing staff member,0,Compatibility
user able navigate using sub navigation icon access catalogue pdf 360 video contact rep representative,user not able navigate using sub navigation icon access catalogue pdf 360 video contact rep representative,0,Flexibility
product shall include interface managing system license entitlement,product shall not include interface managing system license entitlement,0,Availability
use continuous integration streamline code update,use continuous integration not streamline code update,0,Scalability
include feature user provide feedback easily,exclude feature user not provide feedback easily,0,Usability
use automated configuration management maintain consistency reduce manual error,user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,1,Performance
system must use point click interface 100% selection navigation functionality must able activated selected either mouse keyboard,setting menu twitter user save username combination password regarding twitter,1,Availability
purchasing streaming movie pre paid card via credit card processing time maximum response time 15 second,poiã â â building indicated,1,Compatibility
mobile application free text search desc user able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu free text search field result displayed map view default,mobile application free text search desc user able conduct search providing either restaurant name restaurant description restaurant address restaurant type restaurant menu not free text search field result displayed map view default,0,Security
