Category,NFR_Text
US,employee able successfully use product within minute informally navigating product less 15 minute user shall able successfully setup meeting reserve conference room
US,product shall use standard navigation menu familiar web user
US,product shall allow intuitive searching available conference room
US,every registered user access product support site via internet 70% registered user shall find solution problem within 5 minute using support site
US,product shall translated foreign language target market country language future release emerging target market shall take no 5 day configure product market language
US,product shall able display calendar date time according user locale 90% survey respondent target market country find date time formatting product correct
US,user able access streaming movie 2 click logging website
US,anonymous survey show 70% customer comfortable purchasing streaming movie 2 week using website
US,anonymous survey show 95% customer comfortable using purchasing pre paid card month using system
US,product shall retain customer buying preference information
US,product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch pre determined movie 3 minute
US,product shall use symbol word naturally understandable user familiar website
US,website use standard internet convention interacting user
US,website provide help section answer solution common problem
US,product shall intuitive self explanatory nine ten user shall able successfully complete game no training
US,product shall available player understand english spanish french product shall allow user select language upon accessing product
US,system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute
US,system shall easy learn caller supervisor caller supervisor shall learn use system within 10 minute
US,product shall provide monitoring service product shall easy system administrator dba use two week usage
US,product shall provide error tracking service product shall help system administrator dba resolve transaction error 99% time
US,product shall provide portal product shall help system administrator analyze transaction ad hoc reporting kpis key performance indicator
US,system must use point click interface 100% selection navigation functionality must able activated selected either mouse keyboard
US,interface shall easy use 90% user able successfully use system generate report first use interface adhere ibm usability standard
US,rreports must easy generate eports must generated within one button click exported within one button click selecting report
US,user shall able use system without instruction short amount time one use user understand remember 90% system usage navigation
US,ccr user shall receive training wcs system deployed one training session held 100% ccr user system deployment based ccr user available
US,wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user
US,new user shall able navigate league team page within 30 second reaching start page
US,user shall able reach add drop trade player page one click team owner page
US,32 user shall able view least 25 nfl player statistic point page
US,33 application shall ask user confirm dropping player trading player performing action
US,system shall used realtor no training
US,system shall intuitive self explanatory
US,product shall easy realtor learn
US,product shall use symbol word naturally understandable realtor community
US,product shall installed untrained realtor without recourse separately printed instruction
US,90% untrained realtor shall able install product device without printed instruction
US,system shall easy use program administrator nursing staff member
US,user shall able use system one day training
US,system shall help user avoid making mistake scheduling class clinicals nursing student
US,number mistake noted student shall decreased 50% first year
US,system shall intuitive program administrator nursing staff member
US,2 3 program administrator nursing staff member shall successfully able use system manage scheduling class clinicals
US,system shall use symbol word naturally understandable user community
US,verbiage used within system shall consistent standard english terminology national nursing community
US,product shall allow user undo action within last 5 minute
US,product shall provide visual feedback within 1 second user interaction
US,system shall offer context sensitive help major step user workflow
US,user interface shall support customizable theme enhance readability accessibility
US,product shall allow user configure save personal preference layout appearance
US,system shall provide onboarding tutorial new user completed less 10 minute
US,system shall include search function provides relevant result within 2 second entering query
US,product shall support keyboard shortcut major function
US,system shall ensure 95% user complete basic task e g file upload without external assistance
US,product shall use large easily readable font textual content
US,system shall offer voice command major function accommodate user disability
US,product shall include help button accessible every screen
US,product shall allow user customize navigation bar frequently used feature
US,interface shall provide real time progress indicator ongoing process e g file uploads
US,system shall optimized usability desktop mobile device
US,product shall offer feature increase text size better readability
US,system shall provide error message clear suggest corrective action
US,product shall include feature user report usability issue directly within application
US,system shall provide tooltips icon button hover
US,product shall support multiple user profile customizable setting different user role
US,system shall offer quick access menu commonly used function
US,interface shall designed minimize number click needed complete common task
US,product shall include search bar support keyword auto suggestion
US,system shall ensure interactive element clearly distinguishable non interactive element
US,product shall include option user revert previous version application needed
US,system shall include new section highlighting recent update new feature
US,product shall support drag drop functionality file management
US,system shall provide clear consistent iconography throughout interface
